tipo_item,endereco,bairro,metragem_m2,latidude,longitude,lote,observacoes
canteiros + barranco,av. aniceto espiga,portal de versalhes,"5.916,15","-23,3194313","-51,1937601",2,
rotatorias e canteiros,av. faria lima,varios,"8.895,32","-23,3214208","-51,1849835",2,
area publica,marginal da pr-445 com av. aniceto espiga (ao lado dos prédios),gleba palhano,"7.836,36","-23,3230063","-51,1968574",2,
area publica,rua toshio imai / rua jerusalem ate rua bento m. da rocha neto,do lago,"6.355,41","-23,7621326","-52,0961816",2,
praça,rua bento munhoz da rocha neto c/ rua eurico hummig,gleba palhano,"2.749,04","-23,3271845","-51,1759177",2,
canteiros,av. ernani lacerda de atayde,palhano,"3.916,06","-23,3308869","-51,1754404",2,
praça,rua montevidéo ao lado do nºs 658 e 710 até rua bento munhoz da rocha neto,arco iris,"2.032,60","-23,3271845","-51,1759177",2,
lateral,rua josé giroldo c/ rua cayena ( 04 áreas ),arco iris,"1.300,00","-23,3326253","-51,1732022",2,
praça + canteiro,rua guadalajara,arco iris,"2.443,75","-23,3336192","-51,1709397",2,
praça,madre leonia milito c/ nepal,claudia,"2.242,40","-23,3352023","-51,1648124",2,
praça + canteiro,rua pequim c/ av. japao,claudia,"3.684,68","-23,3365599","-51,1722661",2,
canteiro,rua shangai c/ rua tibet,claudia,"166,7","-23,338528","-51,1714166",2,
area publica,rua bombain c/ av. garibaldi deliberador,claudia,"2.462,34","-23,3391215","-51,170797",2,
fundo de vale,rua sumatra / goa / bombain / av. garibaldi deliberador / assad abujamra,claudia,"11.187,82","-23,3405645","-51,1726155",2,
praça + fundo de vale,rua bombaim com rua alcides zaninelli,claudia,"3.575,59","-23,3407475","-51,1747957",2,
canteiros,av. garibaldi deliberador,claudia,"7.158,97","-23,3351479","-51,1710439",2,
fundo de vale,rua basileia / adhemar de barros / mario diniz de oliveira / garibaldi deliberador,vale do reno,"8.848,91","-23,3393058","-51,1655207",2,
area publica,adhemar pereira de barros / otavio g. pereira(bosque),bela suiça,"1.677,63","-23,3319081","-51,1653536",2,
praça,rua cruzeiro do sul c/ rua basileia,bela suiça,"12.878,35","-23,3360103","-51,1664675",2,
area publica,rua odécio simino,recanto nobre,"3.659,40","-23,3361733","-51,1617144",2,
canteiros,av. adhemar pereira de barros,varios,"9.901,86","-23,3318583","-51,1654323",2,
fundo de vale + area publica,rua tranquilo de piva botega,burle marx,"2.670,49","-23,3527569","-51,1612718",2,
praça,constantino botino c/ alcino carneiro ribas,burle marx,"4.802,05","-23,3490474","-51,1566301",2,
lateral,rua alcino carneiro ribas,burle marx,"2.668,06","-23,3493425","-51,16358",2,
area publica,mario pezarini c/ jose nogueira franco / natalino frout,vale do reno,"7.373,01","-23,3464576","-51,1671843",2,
praça,waldemar spranger c/ jose nogueira franco / eunice c. martins,vale do reno,"6.628,12","-23,3464576","-51,1671843",2,
praça + canteiro,waldemar spranger c/ alberto bonafini / maria luzel cauduro,vale do reno,"10.523,05","-23,3405305","-51,1538102",2,
canteiros e rotatorias,av. waldemar spranger,varios,"36.477,46","-23,34143","-51,1565357",2,
canteiros + rotatoria,av. harry prochet,varios,"8.312,95","-23,3395354","-51,1563338",2,
fundo de vale,rua samuel wainer - funcinarios até final da rua,tucano,"192,1","-23,348603","-51,1535667",2,
lote,werner s. arco verde c/ joao gilberto santos q 05 l 01,tucano,"1.043,20","-23,3470374","-51,1566503",2,
praça,joao gilberto santos c/ constantino botino (02 areas),tucano,"5.161,29","-23,3453977","-51,1586447",2,
areas institucionais + praça,rua olindo andrello com rua samuel wainer,tucano,"3.071,13","-23,3496702","-51,1541784",2,
fundo de vale,rua samuel wainer c/ ruas joao gilberto santos e olindo andrello,tucano,"637,2","-23,347011","-51,1527053",2,
lateral,rua dos funcionarios,mediterraneo,"9.106,58","-22,9102326","-51,7984626",2,
canteiro,pr 445 c/ mario saraiva da fonseca,columbia,"1.000,00","-23,3390879","-51,1831939",2,
vielas,rua sebastião roberto ao lado dos nºs 159 e 172 ( 02 áreas ),columbia,480,"-23,326254","-51,2130746",2,
canteiros,av. vinicius de moraes,columbia,"9.924,89","-23,3197899","-51,2092617",2,
canteiros,av. juvenal pietraroia,columbia,"6.058,29","-23,3183181","-51,2122318",2,
area publica,maria correia c/ juvenal pietraroia / antonio gonçalves ortiz,columbia,"2.569,06","-23,3257465","-51,2147707",2,
area publica,maria beraldi merigue / juvenal pietraroia / joao manoel de nobrega,columbia,"8.704,53","-23,3265436","-51,2162747",2,
fundo de vale,juvenal pietraroia/joao m. nogueira/romano frasson até soiti taruma,columbia,"8.289,00","-23,3200737","-51,2163797",2,
canteiros,av. soiti taruma,columbia,"4.086,50","-23,3199149","-51,2200951",2,
praça,augusto bortolato c/ theodoro brauko / soiti taruma,sabara iii,"4.498,13","-23,3191588","-51,2167538",2,
praça,manoel borges leao c/ theodoro brauko / soiti taruma,sabara iii,"11.167,51","-23,3188377","-51,2188465",2,
fundo de vale,romano frasson / henrique bruneli,avelino a. vieira,"8.739,01","-23,3226836","-51,2192413",2,
canteiros,hugo seben,avelino a. vieira,"2.355,20","-23,3158158","-51,2270953",2,
area publica,av. hugo seben c/ rua humberto bussadori / francisco quessada ortega,avelino a. vieira,"1.090,80","-23,3173089","-51,2278592",2,
praça,rua segundo moretini c/ rua catarina barbieri gomes,avelino a. vieira,"2.074,89","-23,3146822","-51,2283821",2,
canteiros,av. salto triplo,avelino a. vieira,"2.072,44","-23,3194207","-51,2245384",2,
praça,rua walkiria val com rua sinode bighinatti,avelino a. vieira,"743,28","-23,3185129","-51,2274079",2,
praça,rua anair pezarini correia / av. salto triplo,avelino a. vieira,"4.665,73","-23,3195492","-51,2252921",2,
area publica,rua do biribol c/ rua da ginastica olimpica,maracana,"6.526,02","-23,3250674","-51,2263429",2,
area publica + externa quadra,rua adelina piqueti barrios entre as ruas da ginastica olimpica e severino beba rolin,maracana,"4.638,86","-23,3242533","-51,2231843",2,
area publica,rua benedito cesar de matos c/ rua adelina piqueti barrios,maracana,"3.137,65","-23,3237952","-51,2228514",2,
area publica,rua do judo c/ rua do futebol,olimpico,"2.806,21","-23,3223635","-51,2246991",2,
fundo de vale,rua do hipismo,olimpico,"38.812,92","-23,323516","-51,222338",2,
canteiros,av. josé alves nunes,olimpico,"2.538,37","-23,3293774","-51,221261",2,
praça,rua olympio theodoro / norberto kemmer / rua josé piloto,colinas,"5.370,71","-23,3276437","-51,2226143",2,
area publica,rua josé piloto c/ arlindo braghetto,colinas,"988,88","-23,326071","-51,2227483",2,
area publica,rua norberto kemmer / cirio de nazare de belem / arlindo braghetto / rua do hipismo,maracana,"14.230,00","-1,4563432","-48,501299",2,
fundo de vale,rua do hipismo e rua renato fabretti (jose alves nunes até estrada armarinho paulista),universidade,"14.066,75","-23,3433776","-51,2243522",2,
canteiros,av. maratona,joao turquino,"7.162,30","-23,3211931","-51,2269969",2,
lote,rua mario hyoichi sugahara (q-04 l-01),universidade,"483,25","-23,3326228","-51,2201803",2,
praça,madre teresa de calcuta c/ jose olavo leles (academia ao ar livre),joao turquino,"1.648,17","-23,3197305","-51,1662008",2,
praça,madre teresa de calcuta c/ rua waldomiro turini,joao turquino,"7.574,71","-23,3300027","-51,2257645",2,
canteiro,lenita cesar,joao turquino,"654,54","-23,3275967","-51,2284682",2,
praça,rua lenita cesar com rua da ginastica olimpica,joao turquino,"2.218,16","-23,3262412","-51,2292667",2,
area publica,rua lenita cesar com rua da ginastica olimpica - campo de futebol,joao turquino,"2.821,89","-23,3277054","-51,2288812",2,
area publica,rua moacir marques / rua valdomiro turini / rua madre tereza de calcuta,gleba eperança,"12.566,62","-23,3300027","-51,2257645",2,
fundo de vale,rua madre tereza de calcuta entre valdomiro turini e av. jose alves nunes,gleba eperança,"11.463,56","-23,3293774","-51,221261",2,
praça,rua mauro feu figueiras entre rua madre tereza de calcuta e rua moacir marques,gleba eperança,"2.215,54","-23,3323984","-51,2217131",2,
canteiro,rua camilo simoes c/ rua benedito g. de siqueira / rita cajola,universidade,"347,76","-23,3347403","-51,2151959",2,
lote,rua camilo simoes c/ rua mauro feu figueiras / rua joao t. cavalcanti,universidade,"11.466,79","-23,3323984","-51,2217131",2,
lote,rua manoel duarte bilhao c/ rua alcino f. da silva - q 14 l 01,universidade,"326,88","-23,332273","-51,2160248",2,
lote,rua alcino francisco da silva (q-15 l-41) c/ rua renato fabretti,universidade,"351,08","-23,3307979","-51,216742",2,
lote,rua rua renato fabretti nº 685 q-15 l-21,universidade,"390,5","-23,3288076","-51,2167997",2,
lote,rua manoel duarte bilhao nº 653 q-13 l-16,universidade,"327,75","-23,3291964","-51,217359",2,
lote,rua rita cajola nº 334 q-13 l-01,universidade,"431,5","-23,3295694","-51,2175492",2,
canteiros e rotatoria,av. est. armarinho paulista e av. gil de abreu(fte condominio),jd. universidade,"5.864,36","-23,3449975","-51,225541",2,
area publica,avenida da maratona oposto ao nº 3407,universidade,"2.472,43","-23,3308835","-51,2233693",2,
canteiros,av. terras de santana,alphaville,"4.658,57","-23,3441025","-51,1835975",2,
canteiros,estrada alcides turini em frente ao cond. sun lake,viação velha,"803,68","-23,365249","-51,206539",2,
canteiros,mabio g. palhano ate centro de eventos,palhano,"30.938,29","-23,3750055","-51,2124245",2,
praça,ruy f. de carvalho c/ rua moacyr teixeira,terras de santana,"3.732,50","-23,3474298","-51,1938001",2,
fundo de vale,ruy f. de carvalho - rua gil de abreu ate rod. mabio g. palhano,terras de santana,"7.820,00","-23,3447874","-51,1889511",2,
area publica,rua pedro faria - lote 177 (ao lado do condomínio),gleba palhano,"7.211,04","-23,3438689","-51,190385",2,
canteiros,av. sebastiao buranello,gleba palhano,"753,8","-23,3409598","-51,1907652",2,
praça,av. sebastião buranello c/ rua eunilson bezerra da silva,redidencial madri,"1.329,55","-23,3373717","-51,1926298",2,
area publica,rua martinho lutero c/ rua ulrico zuinglio,gleba palhano,"5.514,65","-23,3344012","-51,1832252",2,
canteiros,av. luiz lerco,terras de davi,"1.195,08","-23,3513181","-51,1815905",2,
canteiros + praça,av. octavio genta + praça atrás da fac. pitagoras,terras de davi,"9.362,47","-23,3509164","-51,1810355",2,
praça,av. luiz lerco / av. octavio genta / rua jose roque salton,terras de davi,"10.542,99","-23,3461027","-51,1813579",2,
area publica,rua norma de pauli salton c/ rua jose roque salton (02 areas),terras de davi,"5.082,94","-23,3557395","-51,1815319",2,
praça,rua rozalina m. lerco c/ rua jose roque salton (02 áreas),terras de davi,"2.983,51","-23,3460713","-51,1798184",2,
canteiros,av. dos expedicionarios,vivendas do arvoredo,"8.928,28","-23,3514638","-51,1678636",2,
praça,rua emiliano perneta c/ rua candido portinari,vivendas do arvoredo,"3.282,01","-23,3512577","-51,1699351",2,
praça,rua antero de quental e rua emiliano perneta,vivendas do arvoredo,"1.322,43","-23,3515833","-51,1693948",2,
praça,ruas lins de vasconcelos / vianna de carvalho / candido portinari,vivendas do arvoredo,"6.946,45","-23,3495898","-51,1699242",2,
canteiro,rua lins de vasconcelos c/ pr 445,vivendas do arvoredo,"1.645,90","-23,3491588","-51,1689024",2,
canteiros + rotatória,marginal pr-445 entre as avs. eurico g. dutra e chapli tanus daher,acapulco,"2.136,96","-23,3359172","-51,1768362",2,
praça,rua elpidio lunardelli,acapulco,"2.502,42","-23,2594603","-51,1852335",2,
area publica (quadra),rua maria vidal da silva ao lado do terminal acapulco,acapulco,"468,11","-23,3619612","-51,1552377",2,
canteiros,av. chapli thanus daher,cafezal,"8.392,93","-23,3164953","-51,1769628",2,
praça,rua geraldo julio c/ av. chapli thanus daher,cafezal,"5.154,18","-23,3727957","-51,1666273",2,
area publica,rua jose bernardo c/ rua geraldo julio,cafezal,"3.289,68","-23,3701522","-51,1610925",2,
praça,rua geraldo julio c/ rua silvio lourenço leite,cafezal,"1.846,38","-23,3722189","-51,1622778",2,
praça,rua cornelio pires c/ rua minervino l. de oliveira (02 areas),cafezal,"2.225,69","-23,3724998","-51,1602704",2,
campo e barranco,rua nicolau barra rosa / rua kazutaro morimitsu,cafezal,"3.819,10","-23,3740232","-51,1602999",2,
praça,rua nicolau barra rosa c/ rua joaquim pereira,cafezal,"2.501,06","-23,373888","-51,1602373",2,
area publica,rua joaquim pereira c/ rua felix coronado,cafezal,"665,84","-23,3730013","-51,158437",2,
praça,rua joaquim pereira c/ rua jose da silva paizano / rua jose b. ribeiro,cafezal,"1.026,19","-23,3714228","-51,1575182",2,
praça,rua claudino ferreira dos santos c/ rua geraldo s. dos santos,cafezal,"1.477,00","-23,3708787","-51,1584689",2,
area publica,rua carmo antonio salum c/ rua nelson morghetti,cafezal,"2.836,09","-23,3676441","-51,1559018",2,
area publica,rua hercules accorsi c/ rua joao lacordaire de oliveira / rua jose coli,cafezal,"13.327,26","-23,3665289","-51,1569579",2,
canteiros + rotatorias,av. abraham lincoln,cafezal,"11.809,03","-23,3714883","-51,154291",2,
area publica,rua devanir s. toppa c/ rua marli nairne bizzani,cafezal,"2.832,88","-23,3792204","-51,1519986",2,
lateral,rua otavio alves filho - entre rua devanir s. toppa e rua manoel l. martines,cafezal,"1.067,52","-23,3783806","-51,1519133",2,
fundo de vale,antonio vizitação l. rubio ate geraldo salton,cafezal,"24.075,90","-23,3457066","-51,1798113",2,
praça,izabel romeiro malfil c/ zulmira andrelo,cafezal,"2.472,79","-23,3708138","-51,1518551",2,
campo de futebol,rua manoel pereira,cafezal,"4.170,85","-23,3654915","-51,152075",2,
fundo de vale,rua carlos clementino moreira / antonio v. l. rubbo / eurico gaspar dutra,cafezal,"2.715,93","-23,3653151","-51,1518938",2,
canteiros,av. eurico gaspar dutra,cafezal,"7.239,27","-23,3626881","-51,1516534",2,
area publica,rua antonio theodoro de a. camargo c/ rua jose santiago de queiroz,taroba,"2.257,23","-23,3686141","-51,1476369",2,
praça,rua arthur magro c/ rua jose santiago de queiroz,taroba,"2.608,98","-23,3676404","-51,1480536",2,
fundo de vale,arthur magro c/ jose s. de queiroz / antonio vieira da silva,atlanta,"8.291,03","-23,3693033","-51,1469357",2,
laterais,ivone freitas lopes / thomas fabricio / francisco dias g. neto / jose luiz andrade,taroba ii,"6.961,67","-23,37012","-51,143282",2,
area publica,rua francisco neto pires c/ leolina mathias perez,tito leal,"608,9","-23,374122","-51,1455734",2,
canteiro,rua victorio francciolli c/ rua jose luiz andrade,tito leal,"194,8","-23,3721773","-51,1426801",2,
praça,jeronymo n. de figueiredo c/ sebastiana rodrigues moreira,jamile dequech,"1.953,83","-23,3879551","-51,1362124",2,
area publica,rua jeronymo nogueira de figuereiredo ( 10 metros ),jamile dequech,"3.413,00","-23,3865412","-51,1380152",2,
laterais,justino araujo vilela / rui viana / manoel marinho / gilnei c. leal até viaduto pr-445,jamile dequech,"4.316,65","-23,3390879","-51,1831939",2,
area publica,justino a. vilela c/ orlando t. de freitas,jamile dequech,"614,45","-23,3197305","-51,1662008",2,
praça,joao mauro orcelli c/ ricardo monte,jamile dequech,"596,11","-23,3301389","-51,1588035",2,
praça,rua dr. luiz aranda / seizo yabe,jamile dequech,"716,74","-23,3928754","-51,1401889",2,
area publica,rua jose o. figueiredo c/ gilney c. leal (acesso viaduto) 02 lados,jamile dequech,"2.798,71","-23,3197305","-51,1662008",2,
canteiros,rua jose o. figueiredo c/ gilney c. leal (acesso viaduto) 02 areas,jamile dequech,"1.247,86","-23,3197305","-51,1662008",2,
canteiro,av. guilherme de almeida,uniao da vitoria,"29.590,79","-23,3681857","-51,1421937",2,
area publica,rua santo favoreto c/ antonio lourenço da veiga,jd. cristal,"597,55","-23,3771358","-51,1303726",2,
area publica,rua emilio striquer,jardim maravilha,"2.244,70","-23,3796483","-51,127306",2,
area publica,rua orminda pereira costa,jardim maravilha,"2.190,30","-23,3791816","-51,1277269",2,
area publica,rua da cidadania,uniao da vitoria,"4.175,87","-23,38331","-51,1276547",2,
cfc area publica,"projeto viva vida + lateral + frente + campo(4.114,20)",uniao da vitoria,"9.873,96","-23,3196939","-51,1560108",2,
fundo de vale,"ruas elson pedro dos santos, do mst e raul alves de andrade",uniao da vitoria,"14.769,64","-23,3850385","-51,1305204",2,
canteiro,rua oito de março c/ rua dos zeladores,uniao da vitoria,"85,63","-23,3848465","-51,1326447",2,
canteiro,rua dos vidraceiros c/ as ruas dos mensageiros e serralheiros,uniao da vitoria,"158,21","-23,3846928","-51,1261488",2,
area publica,entre a rua 25 de agosto e rua miguel campos de souza,uniao da vitoria,"2.875,14","-23,3833395","-51,128864",2,
praça,rua elson pedro dos santos com adelina faria de menezes e rua dos almoxarifes,uniao da vitoria,"1.678,51","-23,3885585","-51,1298862",2,
area publica,rua jose barbosa c/ rua henrique zanon,uniao da vitoria,"1.974,47","-23,3865934","-51,1276246",2,
fundo de vale,rua elson pedro dos santos entre as ruas dos almoxarifes e digitadores,uniao da vitoria,"8.203,30","-23,3155797","-51,1564954",2,
canteiros,rua horticultores c/ viaduto (02 areas),uniao da vitoria,"174,46","-23,3892042","-51,1330492",2,
rotatoria,rua horticultores c/ viaduto,uniao da vitoria,"535,65","-23,3892042","-51,1330492",2,
lateral,pr 445 c/ horticultores (02 lados),uniao da vitoria,800,"-23,3390879","-51,1831939",2,
lateral,viaduto c/ horticultores (02 lados),uniao da vitoria,"219,3","-23,3892053","-51,1330471",2,
lateral,rua horticultores c/ pr 445 (rampa de acesso) 02 lados,uniao da vitoria,"3.374,34","-23,3892042","-51,1330492",2,
lateral,via de acesso,nova esperança,"741,22","-23,0476864","-51,0389982",2,
area publica,carmelo ferraro,nova esperança,"4.908,86","-23,3869601","-51,119779",2,
area publica,emilio mahler c/ joao ramos,nova esperança,"1.169,34","-23,3884021","-51,1186574",2,
lateral,elisa michelete vicente,nova esperança,"1.346,57","-23,3927584","-51,1130546",2,
area publica,rua rosane wainberg com rua icknen wanberg,nova esperança,"2.909,10","-23,389005","-51,1205708",2,
lateral,rosane wainberg,nova esperança,"1.433,11","-23,3876345","-51,1207134",2,
praça,ida tamarozzi c/ guilherme de almeida,franciscato,"2.250,43","-23,3694614","-51,1403853",2,
area publica,rua luiz anelli c/ rua diorgenes de lima bravo,franciscato,"557,06","-23,3719229","-51,1275957",2,
area publica,rua tadao ohira c/ rua diorgenes de lima bravo,franciscato,"880,9","-23,3725002","-51,128789",2,
praça,pedro gonçalves da rosa c/ silvio mariano da silva,novo perobal,"2.672,58","-23,3717262","-51,1264832",2,
canteiro,av. jose marinho,novo perobal,"783,09","-23,3709014","-51,1246532",2,
fundo de vale,rua delegado matias sampaio,são lourenço,"1.530,00","-23,371109","-51,1299669",2,
praça,- rua carlos mantova c/ francisco boer,são lourenço,"1.478,08","-23,3701736","-51,127481",2,
praça,- alvaro godoy c/ francisco boer,são lourenço,"1.358,22","-23,3699054","-51,1313846",2,
rotatoria,francisco boer c/ augusto galo,são lourenço,"688,73","-23,369304","-51,1276478",2,
praça,- joao aranda fenoi c/ antonio silveira santos,são lourenço,"1.131,22","-23,36928","-51,1318755",2,
campo de futebol e ext.,joao marujo c/ antonio augusto de faria,são lourenço,"12.302,72","-23,3672856","-51,129502",2,
area publica,rainhha do ceu (lateral e area publica),são marcos,"3.167,96","-23,3197305","-51,1662008",2,
fundo de vale,rua joao frisselli,jatoba,"245,55","-23,3664742","-51,1275471",2,
lateral,rainha do mar,são marcos,"1.335,58","-23,3647979","-51,1306072",2,
campo e lateral,rainha da felicidade,são marcos,"6.747,51","-23,3634436","-51,1298971",2,
canteiros,av. roberto conceiçao,pq. das indutrias,"3.533,03","-23,368804","-51,1334004",2,
praça,firmino l. de oliveira c/ palotina (praça e campo),pq. das indutrias,"12.292,56","-23,3122995","-51,1851122",2,
area publica,luiz aranda fenoy c/ manoel silva,pq. das indutrias,"2.597,69","-23,3937497","-51,1393691",2,
praça,rua flor dos alpes c/ rua verônica,ouro branco,"2.172,15","-23,3579557","-51,1474616",2,
praça,rua flor do campo c/ rua verônica,ouro branco,"417,8","-23,3608515","-51,1453519",2,
praça,rua vitória régia c/ as ruas flor do campo e flor de lótus,ouro branco,"550,58","-23,3597009","-51,1478028",2,
canteiros,rua das orquídeas c/ as ruas begonias e das papoulas (02 areas),ouro branco,"592,97","-23,3197305","-51,1662008",2,
area publica,rua das petunias c/ rua madre henriqueta dominici,monte belo,"740,97","-23,3578427","-51,1438683",2,
area publica,rua madre henriqueta dominici oposto a rua laurinda pereira,monte belo,401,"-23,3578427","-51,1438683",2,
fundo de vale + campo,ruas francisco a. galhardi / dep. agnaldo p. lima / vitório zanoni / cabo luís budziak,roseira,"7.205,56","-23,3559601","-51,1404669",2,
praça,ruas stefan kuzienko / francisco a. galhardi / joão geremias fernandes / assad sahão,roseira,"2.039,57","-23,3588704","-51,1364914",2,
praça,ruas dep. agnaldo p. lima / joão dias da silva / assad sahão / stefan kuzienko,roseira,"3.145,19","-23,3598132","-51,1373327",2,
praça,ruas assad sahão / áurea erthal sorace / francisco a. galhardi / stefan kuzienko,roseira,"4.701,06","-23,3599174","-51,1364615",2,
praça,cabo luiz budziak c/ edmundo gonçalves,roseira,"1.968,45","-23,3558683","-51,1384578",2,
praça,adriano m. gomes c/ washington siqueira,monte belo,"637,13","-23,3558448","-51,1401758",2,
praça,cabo luiz budziak c/ salvatina m. rosa,piza,"877,2","-23,3555223","-51,1399996",2,
lateral,ruas edmundo gonçalves / alexandre sahyun / isabel c. dos santos / rua doze,neman sahyun,"4.812,70","-23,3581806","-51,1354323",2,
fundo de vale,rua adriano marino gomes e rua dep. agnaldo pereira lima,monte belo,"33.379,51","-23,355685","-51,1419621",2,
praça,mario giovaneti c/ veneza / george von malte,piza,"2.696,08","-23,3540037","-51,1408496",2,
canteiros,noemia b. barroso (02 areas),lagoa dourada,"1.269,70","-23,3197305","-51,1662008",2,
fundo de vale,j rua jose negri / jose francisco pereira / av. alice abib sahao,neman sahyun,"12.896,02","-23,3573244","-51,1318215",2,
praça,jacira messias leama c/ adolfo l. de oliveira / lindaura v. de souza,vale azul,"2.555,91","-23,3548477","-51,1290557",2,
area publica,valdy j. machado c/ salvadora s. canalez,jose bastos de almeida,"987,17","-23,3513186","-51,1293186",2,
fundo de vale,rua claudionor reis,vale azul,"922,17","-23,3531101","-51,1291326",2,
lateral,salvadora s. canalez (valdy j. machado ate flavio p. dos santos),jose bastos de almeida,"1.404,94","-23,3245731","-51,1610877",2,
praça,marselha c/ paris,piza,"933,81","-23,3505768","-51,1388497",2,
lote,rua veneza com rua noemia barroso machado,jd. monte belo,"668,04","-23,3534067","-51,1430353",2,
area publica,rua veneza c/ rua turim,piza,"14.343,89","-23,3538966","-51,1453962",2,
praça,rua madre h. dominici c/ rua veneza,lagoa dourada,"84,63","-23,3549385","-51,1473386",2,
canteiros,av. europa e av. alice abib sahao,piza / vale azul,"8.640,28","-23,3493598","-51,1438789",2,
praça,rua andre galo c/ rua pedro batista de souza,são vicente,"2.616,34","-23,2707845","-51,174346",2,
canteiro,rua belgica com rua joao wefort,cristo rey,"405,41","-23,3556267","-51,1511416",2,
praça,rua joao wefort c/ rua wenceslau zamunner,esperança,"5.966,20","-23,3543021","-51,152549",2,
praça + canteiro,francisco merighe / maria luisa zambelo / ulisses r. da silva,conj. das flores,"6.638,62","-23,3575064","-51,1536835",2,
praça,maria serrato batista / kotaro hayasaka,conj. das flores,"2.007,82","-23,3586183","-51,1545318",2,
area publica,benjamin jorge / francisco merighe - final da rua,conj. das flores,"2.719,68","-23,3558778","-51,1520791",2,
area publica,almeida garret c/ otaviano felix,pq. são jorge,"594,47","-23,3406555","-51,1532771",2,
fundo de vale,rua herodoto c/ rua belgica,igapo,"7.710,57","-23,3379712","-51,1499155",2,
canteiros e rotatoria,rua herodoto,igapo,"3.871,46","-23,337915","-51,1496598",2,
area publica,av. dez de dezembro - kaingang,jd. europa,"8.910,00","-23,3376231","-51,1461046",2,
area publica,av. portugal c/ av. duque de caxias,arpoador,"12.959,89","-23,3390901","-51,1460796",2,
viela,rua itália ao lado do nº 155,igapo,"240,4","-23,3406143","-51,1486215",2,
canteiros,av. albania e portugal,igapo,"2.624,15","-23,3400249","-51,1485513",2,
canteiros,av. inglaterra,igapo,"5.503,36","-23,3394702","-51,1477435",2,
praça,rua suecia c/ rua hungria,igapo,"10.663,00","-23,3409407","-51,1455105",2,
praça,grecia c/ dinamarca,igapo,"2.663,61","-23,341927","-51,1482904",2,
praça,rua alemanha c/ rua espanha / rua suiça,igapo,"5.162,42","-23,3398688","-51,1456246",2,
lote,rua dinamarca c/ rua escócia,igapó,"693,27","-23,3421442","-51,1477796",2,
praça,rua espanha c/ rua alemanha / av. portugal,igapo,"962,31","-23,2792695","-51,2791649",2,
praça,rua holanda c/ rua escocia / rua san marino,igapo,"2.611,20","-23,3140785","-51,1814451",2,
praça,rua egito c/ av. uniao sovietica / rua escócia,igapo,"4.617,84","-23,3461309","-51,1454675",2,
canteiros,av. estados unidos,igapo,"531,22","-23,3431656","-51,14846",2,
area publica,rua paquistao c/ av. estados unidos,igapo,"2.051,37","-23,3444821","-51,1494835",2,
canteiros,av. gra bretanha,igapo,"500,2","-23,3452995","-51,1457062",2,
canteiros,av. uniao sovietica,igapo,"1.955,35","-23,344778","-51,1486261",2,
fundo de vale,rua belgica e rua turquia,igapo,"3.504,00","-23,33983","-51,1512085",2,
area publica,rua turquia com rua orlando maimone,igapo,"1.790,40","-23,3508922","-51,1536198",2,
praça,escocia c/ inglaterra,igapo,"2.187,62","-23,3449588","-51,1449603",2,
area publica,av. charles lindenberg com av. das américas (02 áreas),california,"16.460,80","-23,3432956","-51,1348084",2,
lateral,rua brasil filho c/ rua adolfo b. de menezes,morar melhor,"1.209,08","-23,3424485","-51,1389281",2,
fundo de vale,rua guilherme negro / rua aristides l. da fonseca / rua antonio luciano,nova conquista,"14.726,66","-23,3369414","-51,1413519",2,
canteiros,rua alan kardek c/ rua teodoro roosevelt / rua leon denis,california,"926,16","-23,3319099","-51,1413839",2,
area publica,rua guia lopes c/ rua confucio,california,"3.234,38","-23,3350202","-51,1431264",2,
praça,rua pitagoras c/ rua victor hugo,california,"1.029,99","-23,335991","-51,1438301",2,
canteiros,rua conde du c/ rua camille flamarion,california,"227,1","-23,335688","-51,141501",2,
laterais,rua mahatma gandhi entre av. salgado filho e rua conde du ( 04 àreas ),california,"4.295,20","-23,3353315","-51,1393579",2,
praça,rua lazaro zamenhof entre ruas carlos gil e joana da gloria lisboa athaide,morar melhor,"751,47","-23,3422401","-51,1382199",2,
lotes,(rua dorcelina mª da conçeiçao) entre rua carlos gil e rua joana da gloria lisboa ataíde,cambezinho,500,"-23,3416765","-51,1395283",2,
area publica,av. das americas entre rua adolfo b. de menezes e rua werner von braun,san fernando,"2.128,04","-23,3379383","-51,1385919",2,
canteiros,rua charles lindenberg c/ rua adolfo b. de menezes,california,"458,01","-23,3292888","-51,1452993",2,
lote,av. salgado filho ao lado do nº 600,california,"857,5","-23,3338215","-51,1327653",2,
lote,av. salgado filho com rua jaime americano,california,"358,9","-23,3321433","-51,1395504",2,
canteiros,av. jose ventura pinto e av. das americas (entre as ruas maria g. colli e charles lindenberg),san izidro,"13.016,61","-23,3402587","-51,1379933",2,
area publica,av. das americas c/ av. jose ventura pinto / rua benedito de oliveira jr.,monte carlo,"4.142,97","-23,3395474","-51,1388234",2,
praça,av. jose ventura pinto / rua domenico rotunno e rua antonio belasco,vale verde,"4.934,28","-23,3422467","-51,1246391",2,
area publica,florencio rodrigues c/ rafael m. lopes,loris sahyun,"1.656,36","-23,3396537","-51,1272931",2,
fundo de vale,elias kalin youssef e joaquim xavier,loris sahyun,"13.349,78","-23,3414858","-51,1254677",2,
area publica,rua marize benato c. trento c/ rua izabel gomes colli,pequena londres,"3.622,34","-23,3393105","-51,1208435",2,
