tipo_item,endereco,bairro,metragem_m2,latidude,longitude,lote,observacoes
fundo de vale,"ilma l. ghergoleto entre r senegal, sudao e josé del ciel",hilda mandarino,"6.515,31","-23,2768875","-51,1743549",1,
praça,pedro zani,imagawa,"2.574,44","-23,2796693","-51,1789532",1,
canteiros,av francisco de melo palheta,continental,"2.316,92","-23,2660203","-51,1808891",1,
canteiros,av pedro carrasco alduan,res. do café,"11.435,18","-23,2682711","-51,182148",1,
lote,av pedro carrasco alduan,residencial do café,"360,00","-23,2682711","-51,182148",1,
canteiros,av da liberdade,ruy v. carnascialli,"9.877,44","-23,2764007","-51,1659238",1,
vielas,av liberdade (ifpr),elizabeth,"3.230,00","-23,2755565","-51,1637382",1,
canteiros,cardeal vermelho c/ av. liberdade (e rotatória),elizabeth,"930,52","-23,3197305","-51,1662008",1,
praça,av. liberdade c/ cardeal vermelho,elizabeth,"1.350,13","-23,2764007","-51,1659238",1,
area publica,da liberdade c das perdizes,elizabeth,"237,92","-23,2760099","-51,1590996",1,
canteiros,av das torres zona norte,vários,"134.305,19","-23,2581778","-51,1440423",1,
area publica,luis leoni,padovani,"9.034,66","-23,2617908","-51,2021582",1,
canteiros,guilhermina lahmann e joao esteves,catuaí,"6.220,82","-23,2503819","-51,1368865",1,
canteiros e laterais,angelina ricci vezzozo,itaparica,"31.220,99","-23,2774025","-51,1384406",1,
canteiros,pedra verde,ideal,"2.108,55","-23,301316","-51,1364627",1,
canteiros,av das laranjeiras (da theodoro victorelli até atrás da utfpr),interlagos,"15.813,16","-23,3118466","-51,1324383",1,
canteiros,teodoro victorelli,vários,"5.762,98","-23,3121377","-51,1426712",1,
laterais,laranjeiras lateral antiga linha ferrea (da rotatória pioneiros até a utfpr),interlagos,"17.717,44","-23,3075288","-51,1128994",1,
canteiros,av miltom ribeiro de menezes,farid libos,"4.607,73","-23,2785188","-51,1408337",1,
canteiros,av pedro rossato - paulo akachi,heimtal,"11.005,01","-23,24445","-51,1569727",1,
canteiro central,av. manoel honorato sobrinho,heimtal,"3.388,25","-23,2388844","-51,1557602",1,
canteiros e laterais,av das maritacas (até a rua de terra),lindóia,"6.416,12","-23,2833821","-51,1162707",1,
